Test ID,Study ID,Form,Field Type,Field Value,Dictionary Level,Dictionary,Priority,Locale,IsApprovalRequired,IsAutoApproval
1001,PROD,AutoApprovalRequired,Main,Headache,LLT,MedDRA,1,eng,TRUE,TRUE
1002,PROD,AutoApprovalRequired,Main,Broken leg,LLT,MedDRA,1,eng,TRUE,TRUE
1003,PROD,AutoApprovalRequired,Main,lower body numb,LLT,MedDRA,1,eng,TRUE,TRUE
1004,PROD,AutoApprovalRequired,Main,left foot swollen,LLT,MedDRA,1,eng,TRUE,TRUE
1005,PROD,AutoApprovalRequired,Main,trouble breathing,LLT,MedDRA,1,eng,TRUE,TRUE
1006,PROD,ApprovalRequired,Main,coughing blood,LLT,MedDRA,1,eng,TRUE,FALSE
1007,PROD,ApprovalRequired,Main,coughing,LLT,MedDRA,1,eng,TRUE,FALSE
1008,PROD,AutoApprovalNotRequired,Main,cough,LLT,MedDRA,1,eng,FALSE,TRUE
1009,PROD,AutoApprovalNotRequired,Main,migraine headache,LLT,MedDRA,1,eng,FALSE,TRUE
1010,PROD,ApprovalNotRequired,Main,Back pain,LLT,MedDRA,1,eng,FALSE,FALSE
1011,PROD,ApprovalNotRequired,Main,chest pain,LLT,MedDRA,1,eng,FALSE,FALSE
